revGrowth,EPS,GrossMargin,Class
114.5,1270,407.4,1
-568.3,-710,1000,0
0,-59580,0,0
0,-69080,0,0
153.6,7060,902.3,1
-35.9,390,426.3,1
10307.2,-10640,1000,1
0,-920,685.3,0
91.9,980,766.5,1
-221.5,90,535.8,0
-272.4,-2970,1000,0
0,-900,0,0
95.8,-830,237,0
143.3,520,619.8,1
0,-1440,0,0
9285.3,-1310,1000,1
-214.5,600,1000,1
34.5,-520,157.7,1
75.1,-210,715.8,1
0,-1200,0,0
285.3,-270,576,0
360.2,1450,116.1,0
3513.6,-63740,1000,1
-6.2,-357301,-15269.1,0
-33.1,-1800,1000,0
3722.4,-2230,1000,0
386.1,-6940,653.8,1
12.3,-5090,739.6,0
0,-14550,1000,1
83.6,1730,315.6,1
31.5,2113.4,573.5,0
-81.7,-520,418.2,0
36.6,70,508.4,0
4717.3,-35250,1000,1
0,-4040,0,1
60.3,2980,57.2,1
0,-1110,0,0
0,-6150,0,1
132.3,3220,330.7,1
-662.5,-2000,1000,1
374.6,-54410,574.5,0
-123.1,480,322.7,1
-789.1,-1070,1000,1
0.8,840,620.9,1
732.4,-6460,985.1,0
701.8,-1290,482.4,0
193.4,430,799.2,1
3499.5,-13650,828.8,0
116.4,-930,570.9,0
317.8,590,858.4,1
19.9,3080,541.8,1
-379.3,-3240,1000,1
0,3090,0,0
0,-32410,0,1
-389,-160,327.8,0
151.9,3010,702.7,0
0,-5620,0,0
2763.7,-600,1000,0
-14.2,1720,489.6,1
0,-1340,0,0
0,-2037002,0,0
-744.3,-1630,1000,1
101.4,240,681.2,1
0,-5100,0,0
93589.7,-4800,-1355.3,1
149.9,1050,436.4,1
176.7,1120,267.6,0
567.1,-60,1000,0
271.9,-2280,742.9,0
27.5,1510,330.3,1
-67.8,250,559,1
293.3,980,747.9,1
0,-1670,0,1
0,-4670,0,0
93.2,-310,1000,0
-1000,-2020,0,1
0,-2000,0,1
0,-2070,0,0
132.2,10,696.7,0
928.4,-1810,367.4,0
489.4,1880,1000,0
33.2,70,454.1,0
515.6,-2800,555.6,1
33.1,-1540,414.8,0
543,-52801,171.2,0
491.7,330,493.3,1
412.6,-180,660,1
860.6,2610,795,0
-578.7,-18160,1000,0
368.2,1370,95.4,1
-1000,-1270,0,0
-552.6,-4150,1000,0
-83.7,-250,243.5,1
-29.7,1170,546,0
531.6,-410,1000,1
394,1620,476.6,1
27.5,260,631.2,0
1558.2,-1590,1000,0
92.7,257.9,814.6,1
0,-132930.5,0,1
146.8,440,397.6,1
155.3,1570,249.7,1
-734.5,-850,1000,1
-75.5,-1800,1000,0
131.6,8140,763.9,1
310,20,467.6,1
178.2,-3960,1000,0
0,-3400,0,0
30.4,5790,289.5,1
0,-14510,0,1
0,-1350,0,0
1152,-1610,735.1,1
0,-44000,1000,0
0,-4470,0,0
-121.9,-130,941.1,1
-100,-9450,-11844.4,1
-82.9,-34040,1000,0
5.4,-1820,835.5,0
